idProduct,idCategory_x,AVG,LOW,TREND,AVG1,AVG7,AVG30,AVGFOIL,LOWFOIL,trend-foil,avg1-foil,avg7-foil,avg30-foil,LOWEX+,name,idCategory_y,categoryName,idExpansion,idMetacard,dateAdded,expansionName,real_discount,lowex_to_trend_ratio,price_momentum,condition_premium
257599,1,290.9,199.99,178.59,290.9,97.18,55.88,,,0.0,,,,219.98900000000003,Fruition,1.0,Magic Single,1401,2225.0,2007-01-01 00:00:00,,0.45584859174645836,1.2318102917296603,1.993414282774233,0.10000000000000012
21362,1,0.0,300.0,204.5,225.0,111.37,100.11,,,0.0,,,,330.0,Necropotence,1.0,Magic Single,110,3860.0,2007-01-01 00:00:00,,0.45540342298288505,1.6136919315403424,1.0202927179671364,0.1
16773,1,0.0,0.0,164.0,150.0,90.01,90.01,,,,,,,0.0,Paralyze,1.0,Magic Single,76,4088.0,2007-01-01 00:00:00,,0.4511585365853658,0.0,0.6664815020553271,0.0
272920,1,0.0,85.0,159.43,82.67,88.77,75.71,,,0.0,,,,93.50000000000001,Birds of Paradise,1.0,Magic Single,1600,545.0,2015-02-26 16:43:54,,0.4432039139434235,0.5864642789939158,-0.06871690886560769,0.10000000000000017
257981,1,140.0,0.0,133.41,130.0,74.98,68.86,,,0.0,,,,0.0,Black Border Stripes/Two Sides Black Border Filler Card,1.0,Magic Single,1408,206384.0,2007-01-01 00:00:00,,0.4379731654298778,0.0,0.7337956788476926,0.0
5058,1,89.99,99.0,217.61,89.99,122.72,161.55,,,0.0,,,,108.9,Personal Incarnation,1.0,Magic Single,2,4147.0,2007-01-01 00:00:00,Beta,0.4360553283396903,0.5004365608198152,-0.2667046936114733,0.10000000000000006
16758,1,0.0,0.0,152.2,130.0,86.4,86.4,,,,,,,0.0,Weakness,1.0,Magic Single,76,6555.0,2007-01-01 00:00:00,,0.4323258869908015,0.0,0.5046296296296295,0.0
257591,1,189.95,750.0,126.28,189.95,75.61,61.05,,,0.0,,,,825.0000000000001,Assassin's Blade,1.0,Magic Single,1401,321.0,2007-01-01 00:00:00,,0.4012511878365537,6.533101045296168,1.512233831503769,0.10000000000000016
272896,1,49.99,35.0,84.81,49.99,50.96,42.4,,,0.0,,,,38.5,Elder Land Wurm,1.0,Magic Single,1600,1721.0,2015-02-26 16:43:47,,0.39912746138427074,0.45395590142671854,-0.019034536891679728,0.1
4996,1,53.0,49.88,98.02,53.0,59.89,87.74,,,0.0,,,,54.86800000000001,Animate Wall,1.0,Magic Single,2,202.0,2007-01-01 00:00:00,Beta,0.3890022444399102,0.5597633136094676,-0.11504424778761063,0.10000000000000013
272889,1,0.0,49.0,171.01,180.0,106.66,106.66,,,0.0,,,,53.900000000000006,Leviathan,1.0,Magic Single,1600,3258.0,2015-02-26 16:43:45,,0.3762937839892404,0.31518624641833815,0.687605475342209,0.10000000000000012
685948,1,0.0,79.98,120.0,120.0,75.0,75.0,,,0.0,,,,87.97800000000001,Regrowth,1.0,Magic Single,5199,4602.0,2022-11-18 07:30:16,,0.375,0.7331500000000001,0.6,0.10000000000000005
250418,1,100.0,0.0,100.21,100.0,63.3,63.3,,,0.0,,,,0.0,Elephant Token (Green 3/3),1.0,Magic Single,1328,9405.0,2007-01-01 00:00:00,,0.36832651431992813,0.0,0.5797788309636651,0.0
250421,1,100.0,0.0,100.21,100.0,63.33,63.33,,,0.0,,,,0.0,Wurm Token (Green 6/6),1.0,Magic Single,1328,9409.0,2007-01-01 00:00:00,,0.36802714299970063,0.0,0.5790304752881731,0.0
250420,1,100.0,0.0,100.21,100.0,63.33,63.33,,,0.0,,,,0.0,Squirrel Token (Green 1/1),1.0,Magic Single,1328,9106.0,2007-01-01 00:00:00,,0.36802714299970063,0.0,0.5790304752881731,0.0
685769,1,0.0,300.0,149.99,149.99,95.0,95.0,,,0.0,,,,330.0,Personal Incarnation,1.0,Magic Single,5199,4147.0,2022-11-18 04:56:15,,0.366624441629442,2.200146676445096,0.5788421052631579,0.1
16645,1,0.0,100.0,203.33,224.0,130.54,130.54,,,0.0,,,,110.00000000000001,Hill Giant,1.0,Magic Single,76,2696.0,2007-01-01 00:00:00,,0.35798947523729907,0.5409924752864801,0.7159491343649457,0.10000000000000014
16729,1,193.14,225.0,209.15,193.14,134.42,134.42,,,0.0,,,,247.50000000000003,Power Leak,1.0,Magic Single,76,4299.0,2007-01-01 00:00:00,,0.3573033707865169,1.1833612240019127,0.4368397559886922,0.10000000000000013
5274,1,32.92,29.0,101.89,75.05,65.72,76.89,,,0.0,,,,31.900000000000002,Wall of Bone,1.0,Magic Single,1,6460.0,2007-01-01 00:00:00,Alpha,0.35499067621945235,0.3130827362842281,0.14196591600730368,0.10000000000000007
6937,1,134.17,60.0,116.38,59.94,75.16,88.6,,,0.0,,,,66.0,Mishra's Factory,1.0,Magic Single,5,3649.0,2007-01-01 00:00:00,Antiquities,0.35418456779515384,0.5671077504725898,-0.20250133049494412,0.1
5270,1,32.02,32.02,128.03,150.0,82.95,70.53,,,0.0,,,,35.22200000000001,Simulacrum,1.0,Magic Single,1,5219.0,2007-01-01 00:00:00,Alpha,0.35210497539639146,0.2751073967038976,0.8083182640144665,0.10000000000000016
5078,1,90.0,79.98,151.1,90.0,97.93,139.18,,,0.0,,,,87.97800000000001,Veteran Bodyguard,1.0,Magic Single,2,6335.0,2007-01-01 00:00:00,Beta,0.3518861681005956,0.5822501654533422,-0.08097620749514967,0.10000000000000005
5259,1,57.75,39.99,109.53,63.0,72.89,99.71,,,0.0,,,,43.989000000000004,Nettling Imp,1.0,Magic Single,1,3877.0,2007-01-01 00:00:00,Alpha,0.33452022277001736,0.40161599561763905,-0.13568390725751134,0.10000000000000005
272760,1,125.0,82.5,132.92,125.0,88.56,62.33,,,0.0,,,,90.75000000000001,Mana Vault,1.0,Magic Single,1600,3457.0,2015-02-26 16:43:09,,0.33373457718928673,0.6827414986458021,0.41147244805781386,0.10000000000000017
685879,1,0.0,39.99,75.61,90.0,50.67,50.67,,,0.0,,,,43.989000000000004,Earth Elemental,1.0,Magic Single,5199,1687.0,2022-11-18 06:47:25,,0.3298505488691972,0.5817881232641186,0.7761989342806394,0.10000000000000005
4812,1,90.0,74.99,147.65,90.0,99.21,123.76,,,0.0,,,,82.489,Aspect of Wolf,1.0,Magic Single,2,320.0,2007-01-01 00:00:00,Beta,0.3280731459532679,0.5586793091771081,-0.09283338373147862,0.10000000000000013
257618,1,134.95,750.0,107.41,139.95,72.75,55.73,,,0.0,,,,825.0000000000001,Vampiric Feast,1.0,Magic Single,1401,6284.0,2007-01-01 00:00:00,,0.3226887626850386,7.680849082953172,0.9237113402061854,0.10000000000000016
272625,1,0.0,39.99,76.03,98.99,51.55,29.39,,,0.0,,,,43.989000000000004,Armageddon,1.0,Magic Single,1600,283.0,2015-02-26 16:42:32,,0.32197816651321853,0.5785742470077602,0.9202715809893307,0.10000000000000005
21342,1,0.0,38.33,88.09,74.99,59.99,37.76,,,0.0,,,,42.163000000000004,Icy Manipulator,1.0,Magic Single,110,2806.0,2007-01-01 00:00:00,,0.31899194006130094,0.47863548643432857,0.2500416736122686,0.10000000000000014
4804,1,75.0,54.95,112.0,75.0,77.05,105.93,,,0.0,,,,60.44500000000001,Volcanic Eruption,1.0,Magic Single,2,6418.0,2007-01-01 00:00:00,Beta,0.31205357142857143,0.5396875000000001,-0.026606099935107038,0.10000000000000007
685792,1,0.0,99.0,186.2,185.0,128.33,128.33,,,0.0,,,,108.9,Counterspell,1.0,Magic Single,5199,1158.0,2022-11-18 05:10:23,,0.31079484425349074,0.5848549946294308,0.44159588560741825,0.10000000000000006
5506,1,48.0,35.0,78.34,43.5,54.03,81.62,,,0.0,,,,38.5,Throne of Bone,1.0,Magic Single,1,5980.0,2007-01-01 00:00:00,Alpha,0.31031401582844015,0.49144753637988253,-0.19489172681843422,0.1
257615,1,152.99,499.0,96.13,152.99,66.32,51.77,,,0.0,,,,548.9000000000001,Raise Dead,1.0,Magic Single,1401,4484.0,2007-01-01 00:00:00,,0.3101009050244461,5.70997607406637,1.3068455971049462,0.10000000000000019
272620,1,37.5,68.42,77.78,37.5,53.8,54.59,,,0.0,,,,75.26200000000001,Serra Angel,1.0,Magic Single,1600,5066.0,2015-02-26 16:42:30,,0.30830547698637184,0.967626639238879,-0.30297397769516726,0.10000000000000019
257619,1,195.95,0.0,152.41,195.95,105.66,105.66,,,0.0,,,,0.0,Wicked Pact,1.0,Magic Single,1401,6613.0,2007-01-01 00:00:00,,0.30673840299192967,0.0,0.8545334090478894,0.0
257595,1,60.0,39.95,86.43,60.0,60.0,27.45,,,0.0,,,,43.94500000000001,Forest,1.0,Magic Single,1401,2177.0,2007-01-01 00:00:00,,0.30579659840333223,0.5084461413860928,0.0,0.1000000000000001
