Rank,Card_Name,Expansion,Card_ID,Historical_AVG7,Historical_AVG30,Historical_TREND,Historical_Discount_Pct,Current_Cheapest,Current_Average,EX_Plus_Price,EX_Plus_Condition,EX_Plus_Seller,EX_Plus_Quantity,EX_Plus_vs_AVG7_Pct,EX_Plus_vs_TREND_Pct,Total_Listings,Cardmarket_URL
4,Living Artifact,Alpha,5350,305.71,157.84,361.04,56.28185242632395,339.99,603.218888888889,339.99,EX,RubyTrade,1,11.21324130712114,-5.830378905384448,9,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Living-Artifact?language=1&minCondition=3
5,Reverse Damage,Alpha,5452,391.14,199.78,425.86,53.08786925280609,350.0,673.9959999999999,350.0,EX,Magic-Dreams,1,-10.517973104259342,-17.81336589489504,5,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Reverse-Damage?language=1&minCondition=3
2,Manabarbs,Alpha,5397,307.85,138.11,371.08,62.78161043440767,360.0,619.598,360.0,EX,Tuardian,1,16.940068215039783,-2.9858790557292187,5,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Manabarbs?language=1&minCondition=3
3,Dingus Egg,Alpha,5474,318.43,185.71,449.44,58.679690281238884,439.99,597.796,439.99,EX,phigue0,1,38.174795088402476,-2.1026165895336395,5,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Dingus-Egg?language=1&minCondition=3
