Rank,Card_Name,Expansion,Card_ID,Historical_AVG7,Historical_AVG30,Historical_TREND,Historical_Discount_Pct,Current_Cheapest,Current_Average,EX_Plus_Price,EX_Plus_Condition,EX_Plus_Seller,EX_Plus_Quantity,EX_Plus_vs_AVG7_Pct,EX_Plus_vs_TREND_Pct,Total_Listings,Cardmarket_URL
4,Living Artifact,Alpha,5350,305.71,157.84,361.04,56.28185242632395,339.99,603.218888888889,339.99,EX,RubyTrade,1,11.21324130712114,-5.830378905384448,9,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Living-Artifact?language=1&minCondition=3
5,Reverse Damage,Alpha,5452,391.14,199.78,425.86,53.08786925280609,350.0,673.9959999999999,350.0,EX,Magic-Dreams,1,-10.517973104259342,-17.81336589489504,5,https://www.cardmarket.com/en/Magic/Products/Singles/Alpha/Reverse-Damage?language=1&minCondition=3
8,Drain Power,Beta,4740,209.78,122.72,238.56,48.55801475519785,70.95,99.44300000000001,70.95,EX,webuyanycard,3,-66.17885403756316,-70.25905432595574,10,https://www.cardmarket.com/en/Magic/Products/Singles/Beta/Drain-Power?language=1&minCondition=3
10,Power Surge,Beta,4962,167.75,110.43,212.4,48.00847457627119,76.0,111.03600000000002,76.0,EX,ABU-Best-Offer,1,-54.69448584202683,-64.21845574387947,10,https://www.cardmarket.com/en/Magic/Products/Singles/Beta/Power-Surge?language=1&minCondition=3
