Rank,Card_Name,Expansion,Card_ID,Historical_AVG7,Historical_AVG30,Historical_TREND,Historical_Discount_Pct,Current_Cheapest,Current_Average,EX_Plus_Price,EX_Plus_Condition,EX_Plus_Seller,EX_Plus_Quantity,EX_Plus_vs_AVG7_Pct,EX_Plus_vs_TREND_Pct,Total_Listings,Cardmarket_URL
1,Mana Vault,Unlimited,5149,259.13,197.58,262.57,24.751494839471373,240.0,268.59799999999996,240.0,EX,vietj,1,-7.382394936904254,-8.595803023955515,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Mana-Vault?language=1&minCondition=3
2,Winter Orb,Unlimited,5179,90.84,84.89,111.64,23.96094589752777,90.0,118.95900000000002,90.0,EX,DoubleDown,1,-0.924702774108326,-19.38373342887854,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Winter-Orb?language=1&minCondition=3
3,Swords to Plowshares,Unlimited,5077,64.82,62.8,78.46,19.9592148865664,58.12,82.276,58.12,EX,Luckylev,1,-10.336315951866702,-25.924037726229926,10,https://www.cardmarket.com/en/Magic/Products/Singles/Unlimited/Swords-To-Plowshares?language=1&minCondition=3
4,Strip Mine,Antiquities,6943,64.6,49.74,60.82,18.21769154883262,50.0,58.24400000000001,50.0,EX,Buzzle1-,2,-22.600619195046434,-17.79020059191056,10,https://www.cardmarket.com/en/Magic/Products/Singles/Antiquities/Strip-Mine?language=1&minCondition=3
5,Strip Mine,Antiquities,6942,85.6,53.05,64.22,17.393335409529744,50.0,58.24400000000001,50.0,EX,Buzzle1-,2,-41.588785046728965,-22.14263469324198,10,https://www.cardmarket.com/en/Magic/Products/Singles/Antiquities/Strip-Mine?language=1&minCondition=3
6,Mana Drain,Legends,7036,146.34,139.46,164.73,15.340253748558236,138.84,163.693,138.84,EX,Bronhy,1,-5.125051250512505,-15.716627208158798,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Mana-Drain?language=1&minCondition=3
14,Arcades Sabboth,Legends,7229,40.71,32.68,35.71,8.485018202184264,24.98,29.121999999999996,24.98,EX,fabiolone1,1,-38.6391549987718,-30.04760571268552,10,https://www.cardmarket.com/en/Magic/Products/Singles/Legends/Arcades-Sabboth?language=1&minCondition=3
17,Aladdin's Lamp,Arabian Nights,6849,35.17,34.01,36.48,6.770833333333331,33.98,38.277,33.98,EX,Nerdys,1,-3.3835655388115002,-6.853070175438597,10,https://www.cardmarket.com/en/Magic/Products/Singles/Arabian-Nights/Aladdin-s-Lamp?language=1&minCondition=3
18,Corpse Dance,Tempest,8745,17.0,17.2,18.42,6.623235613463639,14.5,17.125,14.5,EX,Vitosellmagic,1,-14.705882352941178,-21.28121606948969,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Corpse-Dance?language=1&minCondition=3
19,Earthcraft,Tempest,8851,89.01,86.14,92.14,6.5118298241805945,83.0,91.203,83.0,EX,Nyar752,1,-6.752050331423441,-9.919687432168441,10,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Earthcraft?language=1&minCondition=3
